fold,config,auroc_TWF,auroc_OSF,wear_r2
0,CausalTransformer (final config),0.9241791875347802,0.9343732433951658,0.8711807529131571
0,GradientBoosting,0.9552031163049527,0.8613888219706095,0.8278299277454805
0,RandomForest,0.82220367278798,0.7871597205492652,0.7652386204943986
1,CausalTransformer (final config),0.9604969290898939,0.9379208754208754,0.8775742053985596
1,GradientBoosting,0.9616601526149265,0.9134984100261878,0.8806094091027178
1,RandomForest,0.9458635771449843,0.8580130003741114,0.8718273812848566
2,CausalTransformer (final config),0.9541224641727154,0.9063345461330347,0.8723867734273275
2,GradientBoosting,0.9458170482039829,0.8850950026432814,0.7956800188947959
2,RandomForest,0.9388377070537874,0.870899026650496,0.8602422560100859
3,CausalTransformer (final config),0.9698638885562607,0.9214252226910454,0.8718877037366232
3,GradientBoosting,0.9563126172514269,0.9030192217533989,0.8456338714170369
3,RandomForest,0.9718396998363469,0.897599624941397,0.8491075157540801
4,CausalTransformer (final config),0.9661734598920528,0.935324995139654,0.8679227034250895
4,GradientBoosting,0.9501675041876047,0.8980515412697384,0.8160314819525695
4,RandomForest,0.8860040945468081,0.8718164733329014,0.8509814045373535
5,CausalTransformer (final config),0.9701534170153417,0.9488981868898186,0.8742684721946716
5,GradientBoosting,0.9615062761506277,0.963012552301255,0.8929143106486924
5,RandomForest,0.9315760111576011,0.9652161785216179,0.8933439080337813
6,CausalTransformer (final config),0.9709016884205485,0.9342457374417004,0.8737219969431559
6,GradientBoosting,0.9566119825968946,0.9128883451843923,0.8849648276964963
6,RandomForest,0.9121861653295015,0.8922955373754364,0.8769711319541331
7,CausalTransformer (final config),0.9531380753138076,0.938502956081081,0.8640627861022949
7,GradientBoosting,0.9517433751743375,0.8501900337837838,0.8571650138471094
7,RandomForest,0.8890376569037657,0.8752991272522522,0.8738574123022705
