fold,seed,config,auroc_TWF,auroc_OSF,wear_r2
5,123,CausalTransformer (final config),0.967866108786611,0.9471129707112971,0.8790598511695862
5,2024,RandomForest,0.9668619246861925,0.9627615062761506,0.8942011109597146
5,2024,GradientBoosting,0.9615062761506277,0.9630125523012552,0.8919893779278489
5,2024,CausalTransformer (final config),0.9660251046025105,0.9528033472803348,0.8636629581451416
6,42,RandomForest,0.8825290384385105,0.9176160256900374,0.8777826139907233
6,42,GradientBoosting,0.9574901209435995,0.9126079975533298,0.8859836055628321
6,42,CausalTransformer (final config),0.9738953418752245,0.9376863674592859,0.8821171522140503
6,123,RandomForest,0.9650341276493833,0.8535820781405306,0.8753226099742656
6,123,GradientBoosting,0.9561729134235422,0.9130667482223411,0.8837642622890819
6,123,CausalTransformer (final config),0.9625194587474554,0.9344751127762061,0.8645074367523193
6,2024,RandomForest,0.8889953299006108,0.9056885082957413,0.8778081718974104
6,2024,GradientBoosting,0.9561729134235422,0.912990289777506,0.8851466152375748
6,2024,CausalTransformer (final config),0.9762902646389654,0.9305757320896093,0.8745414018630981
7,42,RandomForest,0.8551464435146444,0.892287795608108,0.8757274484791746
7,42,GradientBoosting,0.9521338912133891,0.8501372466216217,0.857621211359697
7,42,CausalTransformer (final config),0.9544769874476987,0.9378167229729729,0.8622682690620422
7,123,RandomForest,0.9574058577405857,0.8671347128378378,0.8721652917571464
7,123,GradientBoosting,0.9512970711297071,0.8502428209459459,0.8561471103525993
7,123,CausalTransformer (final config),0.9519665271966526,0.9387141047297297,0.8671519756317139
7,2024,RandomForest,0.854560669456067,0.8664748733108109,0.8736794966704905
7,2024,GradientBoosting,0.9517991631799163,0.8501900337837838,0.8577267198290317
7,2024,CausalTransformer (final config),0.9529707112970711,0.9389780405405406,0.8627681136131287
